Image,Detections,Average_Confidence
024cfeb7-GOPR6549.JPG,10,0.7569
0635aa25-GOPR6590.JPG,16,0.7827
06a132db-GOPR6571.JPG,9,0.8223
0758bd59-GOPR6699.JPG,13,0.8498
0e8671d1-GOPR6626.JPG,7,0.7181
138396e0-GOPR6738.JPG,3,0.7409
15498cfb-GOPR6614.JPG,2,0.7755
19dec389-GOPR0037.JPG,7,0.7217
1cf3c7af-GOPR6787.JPG,14,0.8769
1f116d33-GOPR6753.JPG,8,0.6111
1fe18e90-GOPR6611.JPG,8,0.818
1ffbb9fb-GOPR6788.JPG,18,0.797
204f5fff-GOPR6799.JPG,12,0.8384
22e8c404-GOPR6769.JPG,10,0.8434
2a694f42-GOPR6594.JPG,12,0.6753
2d642a0c-GOPR6677.JPG,15,0.7489
399bc6ff-GOPR0045.JPG,7,0.8654
3bfcab70-GOPR6638.JPG,7,0.8224
3ee1ee02-GOPR6568.JPG,13,0.8228
450f16e2-GOPR6777.JPG,15,0.8605
4540bdc9-GOPR6548.JPG,9,0.8519
483b2b68-GOPR6740.JPG,7,0.6885
50990abb-GOPR6713.JPG,5,0.8142
5650d253-GOPR6579.JPG,9,0.7282
5f4cc069-GOPR6650.JPG,8,0.7514
670f9c60-GOPR6696.JPG,5,0.8835
6a0b2803-GOPR6697.JPG,8,0.7837
6fca18c8-GOPR6592.JPG,12,0.7807
71596657-GOPR6691.JPG,6,0.7713
76b4a0fa-GOPR6705.JPG,24,0.7787
77786278-GOPR0093.JPG,0,0.0
78d0ace2-GOPR6655.JPG,4,0.9338
7e8035e8-GOPR6689.JPG,10,0.7286
835d5a53-GOPR6555.JPG,8,0.7899
838f982d-GOPR6551.JPG,8,0.8448
8602ce67-GOPR6687.JPG,10,0.7639
8f3c7e90-GOPR0094.JPG,8,0.765
92d657c4-GOPR6545.JPG,5,0.8766
97518b51-GOPR6618.JPG,8,0.8251
99810d6b-GOPR6607.JPG,16,0.7772
9c4523b4-GOPR6726.JPG,15,0.791
9f18d7ed-GOPR6536.JPG,8,0.8549
ada95f09-GOPR6798.JPG,9,0.7725
aece3643-GOPR6651.JPG,10,0.7653
b48c16ce-GOPR6764.JPG,12,0.7367
c42775b3-GOPR6779.JPG,10,0.842
c4de9ccd-GOPR6722.JPG,6,0.8861
cd26557f-GOPR6803.JPG,12,0.8453
d4f53c20-GOPR6582.JPG,12,0.7894
d54736a5-GOPR6633.JPG,2,0.8596
e0617a69-GOPR6731.JPG,12,0.8095
e528babe-GOPR6675.JPG,16,0.7487
e7573743-GOPR6793.JPG,16,0.814
e84b9a6b-GOPR6639.JPG,15,0.8285
eacf1e45-GOPR6776.JPG,11,0.794
eec6b120-GOPR6807.JPG,10,0.7793
f4d8eda2-GOPR6761.JPG,4,0.6966
faedbb2c-GOPR6623.JPG,3,0.8191
ff4b265f-GOPR6712.JPG,7,0.7174
